"outcome","model","high_definition","joint_variable","group","reference_group","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","group_n","group_events","covariates_used","covariates_dropped","note"
"cardiovascular_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.76545160762395,0.871181748408037,3.57769131935733,0.114722552561227,0.114722552561227,6484,249,1968,64,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",3.28101008545648,1.7691365663316,6.08490457194552,0.000163036432111027,0.000244554648166541,6484,249,345,33,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,4150,114,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.58984216952102,1.54752499005542,4.33419977456334,0.000292296606654479,0.000876889819963436,6484,249,506,57,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.09578824457991,0.631911529291834,1.90018985459116,0.744654531026731,0.744654531026731,6484,249,1545,50,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.19487231048264,1.13506063347468,4.24423534501062,0.0194631162121855,0.0291946743182782,6484,249,283,28,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,3727,100,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",3.08692816822592,1.81754159292906,5.24286517175651,3.03461984323228e-05,9.10385952969684e-05,6484,249,444,52,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.55541667906625,0.792695534025168,3.05201800902372,0.198973434714316,0.198973434714316,6484,249,1968,64,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.58095264272077,1.47010043327967,4.53119827269658,0.000960386768615999,0.001440580152924,6484,249,345,33,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,4150,114,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.22584223444286,1.34360105063746,3.68738447344843,0.00189113440470098,0.00567340321410295,6484,249,506,57,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.03110148194301,0.602244690562194,1.76534601753418,0.911110037824502,0.911110037824502,6484,249,1545,50,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",1.75419432841497,0.946221250216145,3.25209113739553,0.0743457220300762,0.111518583045114,6484,249,283,28,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,249,3727,100,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.68046875218767,1.56923161766159,4.57861838277335,0.000306793995937714,0.000920381987813142,6484,249,444,52,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.51356316938142,0.749889669239953,3.05494736316321,0.24738972190896,0.24738972190896,6484,249,1968,64,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
"cardiovascular_mortality","Model 3","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.11814867603479,1.25151671540278,3.58489324079385,0.00517861454704986,0.00776792182057478,6484,249,345,33,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Reference group: UACR <30 mg/g with TT4 non-high group."
